"filename", "language", "(Unsupported)", "JSON", "TypeScript", "SCSS", "XML", "JavaScript", "Vue", "CSS", "comment", "blank", "total"
"d:\weapp\waste_recycle_demo\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 17, 0, 1, 4, 22
"d:\weapp\waste_recycle_demo\src\components\uni-icons\icons.js", "JavaScript", 0, 0, 0, 0, 0, 1169, 0, 0, 0, 1, 1170
"d:\weapp\waste_recycle_demo\src\components\uni-icons\uni-icons.vue", "Vue", 0, 0, 0, 0, 0, 0, 77, 0, 14, 6, 97
"d:\weapp\waste_recycle_demo\src\components\uni-icons\uniicons.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 498, 0, 166, 664
"d:\weapp\waste_recycle_demo\src\components\uni-icons\uniicons.ttf", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\components\uni-pagination\i18n\en.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\weapp\waste_recycle_demo\src\components\uni-pagination\i18n\es.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\weapp\waste_recycle_demo\src\components\uni-pagination\i18n\fr.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\weapp\waste_recycle_demo\src\components\uni-pagination\i18n\index.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"d:\weapp\waste_recycle_demo\src\components\uni-pagination\i18n\zh-Hans.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\weapp\waste_recycle_demo\src\components\uni-pagination\i18n\zh-Hant.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\weapp\waste_recycle_demo\src\components\uni-pagination\uni-pagination.vue", "Vue", 0, 0, 0, 0, 0, 0, 387, 0, 51, 28, 466
"d:\weapp\waste_recycle_demo\src\main.js", "JavaScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 4, 42
"d:\weapp\waste_recycle_demo\src\manifest.json", "JSON", 0, 67, 0, 0, 0, 0, 0, 0, 8, 1, 76
"d:\weapp\waste_recycle_demo\src\pages.json", "JSON", 0, 147, 0, 0, 0, 0, 0, 0, 0, 1, 148
"d:\weapp\waste_recycle_demo\src\pages\My\My.vue", "Vue", 0, 0, 0, 0, 0, 0, 123, 0, 0, 18, 141
"d:\weapp\waste_recycle_demo\src\pages\buyGoods\BuyGoods.vue", "Vue", 0, 0, 0, 0, 0, 0, 205, 0, 2, 37, 244
"d:\weapp\waste_recycle_demo\src\pages\classify\Classify.vue", "Vue", 0, 0, 0, 0, 0, 0, 193, 0, 0, 27, 220
"d:\weapp\waste_recycle_demo\src\pages\homepage\components\common\ClassifyBtn.vue", "Vue", 0, 0, 0, 0, 0, 0, 66, 0, 0, 18, 84
"d:\weapp\waste_recycle_demo\src\pages\homepage\components\common\PageHead.vue", "Vue", 0, 0, 0, 0, 0, 0, 68, 0, 0, 15, 83
"d:\weapp\waste_recycle_demo\src\pages\homepage\components\market\FleaMarket.vue", "Vue", 0, 0, 0, 0, 0, 0, 31, 0, 0, 12, 43
"d:\weapp\waste_recycle_demo\src\pages\homepage\components\platform\Platform.vue", "Vue", 0, 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"d:\weapp\waste_recycle_demo\src\pages\homepage\components\platform\PlatformDown.vue", "Vue", 0, 0, 0, 0, 0, 0, 175, 0, 0, 26, 201
"d:\weapp\waste_recycle_demo\src\pages\homepage\components\platform\PlatformUp.vue", "Vue", 0, 0, 0, 0, 0, 0, 250, 0, 2, 35, 287
"d:\weapp\waste_recycle_demo\src\pages\homepage\components\siteSearch\NearSiteInfo.vue", "Vue", 0, 0, 0, 0, 0, 0, 245, 0, 2, 33, 280
"d:\weapp\waste_recycle_demo\src\pages\homepage\components\siteSearch\RecommendSite.vue", "Vue", 0, 0, 0, 0, 0, 0, 175, 0, 0, 26, 201
"d:\weapp\waste_recycle_demo\src\pages\homepage\components\siteSearch\SiteSearch.vue", "Vue", 0, 0, 0, 0, 0, 0, 10, 0, 0, 4, 14
"d:\weapp\waste_recycle_demo\src\pages\homepage\components\todayNews\Down.vue", "Vue", 0, 0, 0, 0, 0, 0, 156, 0, 1, 25, 182
"d:\weapp\waste_recycle_demo\src\pages\homepage\components\todayNews\TodayNews.vue", "Vue", 0, 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
